City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,80.33,73,20,10.36,few clouds
1,Sao Joao Da Barra,BR,-21.6403,-41.0511,68.07,73,99,6.87,overcast clouds
2,Hobart,AU,-42.8794,147.3294,72.01,54,40,1.01,scattered clouds
3,Tiksi,RU,71.6872,128.8694,-16.29,99,98,0.94,overcast clouds
4,Dunedin,NZ,-45.8742,170.5036,52.54,82,100,4.74,overcast clouds
5,Avarua,CK,-21.2078,-159.775,82.45,69,75,3.44,light rain
6,Lebu,CL,-37.6167,-73.65,54.41,92,73,18.63,broken clouds
7,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,25.32,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,63.28,88,100,15.03,light rain
9,Mar Del Plata,AR,-38.0023,-57.5575,62.87,80,0,5.37,clear sky
10,Nouadhibou,MR,20.931,-17.0347,70.59,72,100,11.01,overcast clouds
11,Omboue,GA,-1.5746,9.2618,78.01,91,100,3.87,overcast clouds
12,Itarema,BR,-2.9248,-39.9167,79.3,79,22,12.41,few clouds
13,Victoria,HK,22.2855,114.1577,69.33,84,100,1.99,overcast clouds
14,Mayo,US,38.8876,-76.5119,53.94,82,90,1.99,overcast clouds
15,Carnarvon,AU,-24.8667,113.6333,75.27,43,0,19.57,clear sky
16,Hithadhoo,MV,-0.6,73.0833,80.67,79,85,10.29,overcast clouds
17,Qaanaaq,GL,77.484,-69.3632,-9.53,73,23,5.93,few clouds
18,Maningrida,AU,-12.0667,134.2667,92.55,47,54,9.6,broken clouds
19,Mujiayingzi,CN,42.1167,118.7833,18.34,45,2,19.95,clear sky
20,Jamestown,US,42.097,-79.2353,42.39,98,90,7.0,overcast clouds
21,Balabac,PH,7.9868,117.0645,84.94,73,23,7.05,few clouds
22,Chuy,UY,-33.6971,-53.4616,67.37,81,0,8.55,clear sky
23,Bongaree,AU,-27.0797,153.1586,78.3,78,52,11.25,light rain
24,Adrar,MR,20.5022,-10.0711,76.59,29,100,10.02,overcast clouds
25,Bethel,US,41.3712,-73.414,52.16,87,90,3.0,overcast clouds
26,Lagoa,PT,39.05,-27.9833,63.7,86,96,25.03,overcast clouds
27,Busselton,AU,-33.65,115.3333,66.04,47,16,15.39,few clouds
28,Kodiak,US,57.79,-152.4072,27.91,37,1,6.91,clear sky
29,Torbay,CA,47.6666,-52.7314,30.27,84,99,4.27,overcast clouds
30,Ucluelet,CA,48.9329,-125.5528,45.09,88,100,7.36,overcast clouds
31,Batemans Bay,AU,-35.7167,150.1833,66.99,56,42,8.25,scattered clouds
32,Osa,RU,57.2829,55.4567,23.27,91,99,10.83,overcast clouds
33,Seydi,TM,39.4816,62.9137,44.53,40,7,7.63,clear sky
34,Puerto Ayora,EC,-0.7393,-90.3518,69.55,82,69,5.99,broken clouds
35,New Norfolk,AU,-42.7826,147.0587,71.65,37,36,1.99,scattered clouds
36,Bogo,PH,11.0517,124.0055,85.91,69,99,5.86,overcast clouds
37,Rikitea,PF,-23.1203,-134.9692,74.5,61,3,4.38,clear sky
38,Hermanus,ZA,-34.4187,19.2345,66.9,89,100,16.55,light rain
39,Butaritari,KI,3.0707,172.7902,81.3,78,22,8.79,few clouds
40,Honiara,SB,-9.4333,159.95,87.91,57,11,4.41,few clouds
41,Fairbanks,US,64.8378,-147.7164,-11.4,74,1,0.0,clear sky
42,Sitka,US,57.0531,-135.33,42.69,87,90,10.36,light intensity drizzle
43,Bengkulu,ID,-3.8004,102.2655,82.99,69,92,2.68,overcast clouds
44,Havoysund,NO,70.9963,24.6622,23.88,58,100,14.14,light snow
45,Kargat,RU,55.1956,80.2811,24.3,84,100,16.22,overcast clouds
46,Manaus,BR,-3.1019,-60.025,77.49,94,0,2.3,clear sky
47,Andapa,MG,-14.65,49.65,63.05,98,17,1.97,few clouds
48,Elko,US,41.0002,-115.5012,35.22,50,3,5.99,clear sky
49,Khatanga,RU,71.9667,102.5,-34.35,99,6,3.8,clear sky
50,Mehamn,NO,71.0357,27.8492,27.7,58,100,22.17,light snow
51,Castro,BR,-24.7911,-50.0119,56.26,77,7,4.61,clear sky
52,Uglegorsk,RU,49.0833,142.0333,29.97,53,83,5.35,broken clouds
53,Katsuura,JP,35.1333,140.3,62.62,86,100,26.6,light rain
54,Adilabad,IN,19.6667,78.5333,75.31,85,99,2.13,overcast clouds
55,Nanortalik,GL,60.1432,-45.2371,30.31,94,85,10.67,overcast clouds
56,High Level,CA,58.5169,-117.136,10.51,85,90,0.0,light snow
57,Pisco,PE,-13.7,-76.2167,64.45,82,0,12.66,clear sky
58,Kapaa,US,22.0752,-159.319,80.92,69,40,1.01,scattered clouds
59,Sedhiou,SN,12.7081,-15.5569,74.46,49,78,3.6,broken clouds
60,Elk River,US,45.3038,-93.5672,25.09,58,1,1.99,clear sky
61,Cape Town,ZA,-33.9258,18.4232,67.12,79,0,25.32,clear sky
62,Rongcheng,CN,30.634,117.8517,45.75,42,100,10.45,overcast clouds
63,Belmonte,BR,-15.8631,-38.8828,72.1,91,97,10.58,overcast clouds
64,Newport,GB,51.5877,-2.9984,39.85,85,10,13.51,clear sky
65,Dikson,RU,73.5069,80.5464,-12.12,75,10,13.22,clear sky
66,Ushuaia,AR,-54.8,-68.3,37.06,75,90,18.41,light rain
67,Port Augusta,AU,-32.5,137.7667,80.71,23,99,4.09,overcast clouds
68,Te Anau,NZ,-45.4167,167.7167,55.2,83,96,2.51,overcast clouds
69,Hamilton,US,39.1834,-84.5333,46.24,95,75,1.99,mist
70,Quilmana,PE,-12.95,-76.3833,65.66,85,92,2.89,overcast clouds
71,Thompson,CA,55.7435,-97.8558,3.31,85,19,8.01,few clouds
72,Tsumeb,NA,-19.2333,17.7167,70.27,20,31,2.73,scattered clouds
73,Sao Francisco,BR,-15.9486,-44.8644,70.5,88,100,3.89,light rain
74,Ribeira Grande,PT,38.5167,-28.7,65.26,84,99,26.75,overcast clouds
75,Sept-Iles,CA,50.2001,-66.3821,36.27,75,100,6.42,overcast clouds
76,Bambous Virieux,MU,-20.3428,57.7575,71.22,71,10,7.0,clear sky
77,Atuona,PF,-9.8,-139.0333,78.26,72,100,10.22,overcast clouds
78,Kutum,SD,14.2,24.6667,59.09,35,38,5.91,scattered clouds
79,Samarai,PG,-10.6167,150.6667,84.7,73,66,15.32,broken clouds
80,Albany,US,42.6001,-73.9662,48.09,70,100,7.36,overcast clouds
81,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.17,79,23,8.84,few clouds
82,Bonthe,SL,7.5264,-12.505,78.85,84,6,6.46,clear sky
83,Jhol,PK,25.9551,68.8882,55.47,18,5,7.74,clear sky
84,Gobabis,NA,-22.45,18.9667,64.98,22,22,11.45,few clouds
85,Nikolskoye,RU,59.7035,30.7861,27.39,68,57,10.25,broken clouds
86,Port Alfred,ZA,-33.5906,26.891,68.81,82,100,11.77,overcast clouds
87,Sur,OM,22.5667,59.5289,75.99,45,61,14.25,broken clouds
88,Soe,ID,-9.8607,124.284,83.55,52,92,4.18,overcast clouds
89,Solikamsk,RU,59.6196,56.7729,23.81,96,100,8.23,light snow
90,Tasiilaq,GL,65.6145,-37.6368,32.16,96,100,9.04,light snow
91,Moncton,CA,46.1159,-64.8019,35.06,100,98,4.52,light rain
92,Mahebourg,MU,-20.4081,57.7,71.26,72,10,7.34,clear sky
93,Esperance,AU,-33.8667,121.9,71.35,55,49,11.52,scattered clouds
94,Nova Venecia,BR,-18.7106,-40.4006,65.14,95,100,5.61,overcast clouds
95,Barrow,US,71.2906,-156.7887,-5.78,77,20,9.22,haze
96,Norman Wells,CA,65.282,-126.8329,-21.96,76,90,3.44,mist
97,Kruisfontein,ZA,-34.0033,24.7314,64.89,97,100,3.6,light rain
98,Mataura,NZ,-46.1927,168.8643,53.96,81,100,1.97,overcast clouds
99,Winona,US,43.9666,-91.7668,27.21,54,1,14.97,clear sky
100,Souillac,MU,-20.5167,57.5167,71.37,76,1,6.93,clear sky
101,Namie,JP,37.4833,141.0,63.72,95,100,21.61,moderate rain
102,Tuktoyaktuk,CA,69.4541,-133.0374,-8.12,97,35,5.97,scattered clouds
103,Maragogi,BR,-9.0122,-35.2225,77.94,78,13,8.61,few clouds
104,Kenai,US,60.5544,-151.2583,3.25,88,1,4.61,clear sky
105,Krasnogvardeyskiy,RU,57.3793,62.3195,27.54,83,100,11.43,overcast clouds
106,Aksu,CN,41.1231,80.2644,25.48,53,79,1.39,broken clouds
107,Sao Filipe,CV,14.8961,-24.4956,81.99,65,100,8.48,overcast clouds
108,Muisne,EC,0.6,-80.0333,74.16,82,100,8.99,overcast clouds
109,Amantea,IT,39.1332,16.0746,54.45,65,99,3.83,overcast clouds
110,Soyo,AO,-6.1349,12.3689,77.99,85,99,5.91,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,1.24,78,20,14.97,few clouds
112,Swan Hill,AU,-35.3378,143.5544,78.35,31,29,9.13,scattered clouds
113,Oranjemund,NA,-28.55,16.4333,62.46,83,100,7.31,light rain
114,Severo-Kurilsk,RU,50.6789,156.125,38.35,87,37,11.12,scattered clouds
115,Shimoda,JP,34.6667,138.95,61.16,84,97,14.12,overcast clouds
116,Yumen,CN,40.2833,97.2,26.26,41,0,9.17,clear sky
117,Cururupu,BR,-1.8283,-44.8683,76.55,88,67,3.18,broken clouds
118,Alwar,IN,27.5667,76.6,63.72,25,0,3.94,clear sky
119,Yellowknife,CA,62.456,-114.3525,5.41,90,100,5.01,overcast clouds
120,Bluff,NZ,-46.6,168.3333,51.93,73,100,8.95,overcast clouds
121,Geraldton,AU,-28.7667,114.6,71.13,56,75,14.97,broken clouds
122,Upernavik,GL,72.7868,-56.1549,4.05,88,41,7.23,scattered clouds
123,Sola,VU,-13.8833,167.55,82.26,71,9,7.31,clear sky
124,Riyadh,SA,24.6877,46.7219,68.14,32,89,13.6,overcast clouds
125,Baykit,RU,61.67,96.37,3.51,98,100,2.86,overcast clouds
126,Kajaani,FI,64.2273,27.7285,15.85,86,0,8.05,clear sky
127,Pangoa,PE,-12.1167,-73.0,72.77,78,94,1.92,overcast clouds
128,Staryy Merchyk,UA,49.9815,35.759,46.0,81,96,13.8,overcast clouds
129,Hofn,IS,64.2539,-15.2082,42.64,64,63,12.37,broken clouds
130,Wamba,NG,8.9333,8.6,73.85,35,81,4.25,broken clouds
131,Guiratinga,BR,-16.3494,-53.7583,73.83,88,100,1.41,overcast clouds
132,Nuuk,GL,64.1835,-51.7216,27.21,86,75,4.61,broken clouds
133,Denpasar,ID,-8.65,115.2167,85.71,79,20,9.22,few clouds
134,Male,MV,4.1748,73.5089,81.41,76,19,14.29,few clouds
135,Pokrovsk,UA,48.282,37.1758,40.91,93,85,13.67,overcast clouds
136,Ishigaki,JP,24.3448,124.1572,73.53,94,75,16.11,broken clouds
137,Saskylakh,RU,71.9167,114.0833,-24.95,97,39,7.78,scattered clouds
138,Sistranda,NO,63.7256,8.834,39.9,67,100,22.32,light rain
139,Arraial Do Cabo,BR,-22.9661,-42.0278,68.68,64,49,4.83,scattered clouds
140,Gat,IL,31.61,34.7642,57.81,63,7,8.61,clear sky
141,Kavieng,PG,-2.5744,150.7967,86.07,68,99,9.6,overcast clouds
142,Port Elizabeth,ZA,-33.918,25.5701,67.1,94,90,3.44,overcast clouds
143,Kaitangata,NZ,-46.2817,169.8464,51.04,84,100,4.45,overcast clouds
144,Rincon,US,32.296,-81.2354,62.13,97,20,0.0,few clouds
145,Chokurdakh,RU,70.6333,147.9167,-15.92,99,100,2.8,overcast clouds
146,Dali,CN,25.7,100.1833,56.3,73,56,3.62,broken clouds
147,Ahipara,NZ,-35.1667,173.1667,68.09,82,100,3.27,overcast clouds
148,Presidente Epitacio,BR,-21.7633,-52.1156,72.25,52,3,4.85,clear sky
149,Iqaluit,CA,63.7506,-68.5145,11.7,92,100,4.0,overcast clouds
150,Saint-Philippe,RE,-21.3585,55.7679,74.75,67,4,2.13,clear sky
151,Vaini,TO,-21.2,-175.2,80.76,94,75,5.75,broken clouds
152,Businga,CD,3.3333,20.8833,70.39,99,99,2.17,overcast clouds
153,Leningradskiy,RU,69.3833,178.4167,-14.76,99,44,3.65,scattered clouds
154,Winnemucca,US,40.973,-117.7357,39.25,52,1,8.05,clear sky
155,San Patricio,US,28.017,-97.5169,77.09,80,95,3.74,overcast clouds
156,Marawi,PH,7.9986,124.2928,75.65,67,85,3.47,overcast clouds
157,Soure,BR,-0.7167,-48.5233,80.82,82,87,10.94,overcast clouds
158,Acari,PE,-15.4311,-74.6158,69.24,77,74,2.55,broken clouds
159,Ilulissat,GL,69.2167,-51.1,24.82,74,90,11.5,light snow
160,Iberia,US,29.9502,-91.7507,67.05,100,1,3.44,clear sky
161,Matay,EG,28.419,30.7792,59.92,58,6,5.3,clear sky
162,Knysna,ZA,-34.0363,23.0471,66.58,95,97,4.36,light rain
163,Rovenki,UA,48.0833,39.3776,40.55,87,89,14.72,overcast clouds
164,Cherskiy,RU,68.75,161.3,-30.69,99,18,4.85,few clouds
165,Rawson,AR,-43.3002,-65.1023,67.24,44,94,25.1,overcast clouds
166,Svit,SK,49.0601,20.2069,39.11,89,90,2.3,overcast clouds
167,Ilo,PE,-17.6394,-71.3375,65.35,83,100,4.07,overcast clouds
168,Quatre Cocos,MU,-20.2078,57.7625,71.1,71,6,6.69,clear sky
169,Sheridan,US,44.8333,-106.9173,42.93,51,1,0.0,clear sky
170,Ancud,CL,-41.8697,-73.8203,55.42,94,80,7.63,broken clouds
171,Barcelos,PT,41.5388,-8.6151,48.92,85,0,5.44,clear sky
172,Tamala,RU,52.541,43.2515,37.47,97,100,18.86,light rain
173,Gao,ML,16.6362,1.637,73.42,22,4,11.79,clear sky
174,Aranos,NA,-24.1333,19.1167,58.35,41,0,8.41,clear sky
175,Pacific Grove,US,36.6177,-121.9166,65.43,58,1,1.01,clear sky
176,Hede,CN,33.7681,120.2517,41.79,38,100,17.9,overcast clouds
177,Cabedelo,BR,-6.9811,-34.8339,79.47,75,11,13.18,few clouds
178,Corinto,GR,37.9407,22.9573,60.46,85,0,2.44,clear sky
179,Sisimiut,GL,66.9395,-53.6735,19.69,84,95,10.87,overcast clouds
180,Saiki,JP,32.95,131.9,60.87,91,100,10.09,light rain
181,Ponta Delgada,PT,37.7333,-25.6667,63.5,88,40,9.22,scattered clouds
182,Cumana,VE,10.4635,-64.1775,77.81,84,97,7.43,overcast clouds
183,Clyde River,CA,70.4692,-68.5914,5.23,85,94,3.44,overcast clouds
184,Nuristan,AF,35.3,70.8333,18.37,29,0,13.49,clear sky
185,Codrington,AU,-38.2667,141.9667,67.03,53,92,9.6,overcast clouds
186,Shieli,KZ,44.1667,66.75,39.54,73,100,9.06,overcast clouds
187,Mount Gambier,AU,-37.8333,140.7667,68.13,44,100,7.27,overcast clouds
188,Ulladulla,AU,-35.35,150.4667,66.78,56,37,9.13,scattered clouds
189,Laizhou,CN,37.1717,119.9214,38.8,45,100,22.75,overcast clouds
190,Atbasar,KZ,51.8,68.3333,29.43,95,100,23.58,light snow
191,Orapa,BW,-21.2833,25.3667,68.27,81,17,9.75,few clouds
192,Narsaq,GL,60.9167,-46.05,34.02,97,98,4.36,overcast clouds
193,Bam,IR,29.106,58.357,57.56,33,0,1.45,clear sky
194,Bagdarin,RU,54.4333,113.6,-2.83,81,20,2.66,few clouds
195,Lumding,IN,25.7535,93.1732,66.79,69,0,1.5,clear sky
196,Beloha,MG,-25.1667,45.05,65.01,74,2,9.8,clear sky
197,Nome,US,64.5011,-165.4064,6.87,66,1,12.66,clear sky
198,Tongren,CN,27.7172,109.1853,49.91,64,92,7.11,overcast clouds
199,Itoman,JP,26.1247,127.6694,80.62,83,40,9.22,scattered clouds
200,Nakhon Thai,TH,17.1006,100.8374,82.65,70,15,2.08,few clouds
201,Tokur,RU,53.1333,132.9,2.62,80,100,5.5,overcast clouds
202,Qaqortoq,GL,60.7167,-46.0333,34.3,100,97,4.03,overcast clouds
203,Kota Kinabalu,MY,5.9749,116.0724,85.98,74,20,3.44,few clouds
204,Helena,US,46.5927,-112.0361,49.32,43,1,1.01,clear sky
205,Bom Jardim,BR,-7.7958,-35.5872,72.72,87,78,4.79,broken clouds
206,Neijiang,CN,29.5835,105.0622,50.32,65,100,8.77,overcast clouds
207,Eyl,SO,7.9803,49.8164,73.53,78,27,9.66,scattered clouds
208,Albemarle,US,35.3501,-80.2001,56.7,82,100,4.36,overcast clouds
209,Isangel,VU,-19.55,169.2667,82.22,71,100,8.41,overcast clouds
210,Ust-Kuyga,RU,70.0167,135.6,-7.33,99,100,1.34,overcast clouds
211,Obo,CF,5.3998,26.4869,70.07,51,100,3.67,overcast clouds
212,Mackay,AU,-21.15,149.2,90.68,63,24,14.72,few clouds
213,Matara,LK,5.9485,80.5353,78.12,78,66,8.5,broken clouds
214,Caravelas,BR,-17.7125,-39.2481,71.62,87,100,9.93,overcast clouds
215,Port Macquarie,AU,-31.4333,152.9167,67.89,94,90,13.8,moderate rain
216,Georgetown,MY,5.4112,100.3354,84.13,85,20,1.99,few clouds
217,Dukat,RU,62.55,155.55,-18.18,100,100,3.53,overcast clouds
218,Hobyo,SO,5.3505,48.5268,78.67,69,99,13.0,overcast clouds
219,Klaksvik,FO,62.2266,-6.589,45.52,79,99,32.97,overcast clouds
220,Malmesbury,ZA,-33.4608,18.7271,65.79,85,0,6.96,clear sky
221,Mosjoen,NO,65.836,13.1908,33.8,97,100,7.9,light snow
222,Mangotsfield,GB,51.4878,-2.504,39.24,89,11,1.99,few clouds
223,Bay Roberts,CA,47.5999,-53.2648,31.03,59,95,4.23,overcast clouds
224,Fare,PF,-16.7,-151.0167,79.9,68,0,5.46,clear sky
225,Masuda,JP,34.6667,131.85,60.53,94,75,13.8,light intensity shower rain
226,Griffith,US,41.5284,-87.4237,40.1,38,1,5.99,clear sky
227,Skibbereen,IE,51.55,-9.2667,39.0,81,7,9.93,clear sky
